,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,GBP,HKD,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,SEK,SGD,THB,TRY,USD,ZAR
2024-07-26,1.6559,1.9558,6.117,1.5009,0.9594,7.875,25.37,7.4626,0.84378,8.4782,390.95,17694.0,3.9788,90.95,149.7,167.84,1505.15,19.9254,5.058,11.937,1.8427,63.377,4.274,4.9718,11.7325,1.4594,39.112,35.798,1.086,19.8121
2024-07-29,1.6534,1.9558,6.1165,1.4976,0.9578,7.8518,25.371,7.4625,0.84345,8.449,392.5,17610.0,4.0321,90.57,149.9,166.44,1496.41,19.942,5.018,11.9155,1.8418,63.343,4.2938,4.9725,11.7265,1.454,38.914,35.71,1.0817,19.9041
2024-07-30,1.656,1.9558,6.0843,1.4996,0.9592,7.8489,25.429,7.4619,0.8426,8.4558,394.5,17682.0,4.044,90.62,149.5,167.61,1498.59,20.153,5.0034,11.8885,1.8386,63.502,4.2838,4.9766,11.686,1.4554,38.961,35.82,1.0824,19.8815
2024-07-31,1.6635,1.9558,6.0874,1.4977,0.9533,7.8194,25.457,7.4621,0.8438,8.4589,395.78,17634.0,4.0822,90.62,149.9,162.76,1485.96,20.332,4.9749,11.8175,1.8289,63.218,4.2908,4.9749,11.6125,1.4491,38.629,35.908,1.0828,19.74
2024-08-01,1.6501,1.9558,6.112,1.4912,0.9467,7.8203,25.454,7.4613,0.84328,8.432,395.55,17549.0,4.0855,90.35,149.9,162.66,1474.13,19.9936,4.9295,11.7465,1.814,62.912,4.2958,4.9756,11.522,1.4437,38.409,35.706,1.0789,19.6134
2024-08-02,1.6629,1.9558,6.257,1.5035,0.9433,7.8075,25.271,7.4621,0.85,8.4625,396.73,17563.0,4.1211,90.73,150.5,161.37,1479.77,20.58,4.873,11.929,1.8196,62.885,4.289,4.9756,11.5843,1.4424,38.296,35.942,1.0835,19.7048
2024-08-05,1.7008,1.9558,6.3759,1.5188,0.9304,7.8046,25.314,7.4607,0.85878,8.5335,398.45,17755.0,4.2013,92.28,150.5,155.98,1495.97,21.641,4.8525,12.1108,1.8461,63.303,4.3128,4.9768,11.534,1.4475,38.732,36.585,1.0966,20.371
2024-08-06,1.6837,1.9558,6.2028,1.5097,0.9325,7.8071,25.286,7.4628,0.85998,8.5055,397.38,17653.0,4.1979,91.59,150.7,158.29,1504.09,21.087,4.8834,12.0005,1.8423,63.049,4.3105,4.9772,11.559,1.4485,38.797,36.647,1.0915,20.162
2024-08-07,1.6643,1.9558,6.136,1.501,0.9409,7.8425,25.27,7.4627,0.85808,8.5162,398.2,17539.0,4.1367,91.7,150.9,160.62,1501.94,21.069,4.9111,11.781,1.815,63.015,4.3173,4.9768,11.4235,1.4499,38.866,36.579,1.0922,20.034
2024-08-08,1.6677,1.9558,6.1544,1.5021,0.9368,7.8393,25.273,7.4619,0.86093,8.5168,396.1,17379.0,4.1511,91.76,151.1,159.74,1503.86,21.04,4.8912,11.8825,1.823,62.738,4.319,4.9767,11.4955,1.4474,38.577,36.613,1.093,20.099
2024-08-09,1.6609,1.9558,6.0477,1.5007,0.9435,7.828,25.234,7.4622,0.85708,8.514,395.2,17413.0,4.0722,91.66,151.1,160.33,1491.07,20.565,4.828,11.8295,1.8156,62.533,4.3253,4.9769,11.4955,1.4453,38.45,36.628,1.0917,20.017
2024-08-12,1.656,1.9558,5.9998,1.4998,0.9491,7.8439,25.178,7.4628,0.85554,8.5157,393.25,17444.0,4.1171,91.74,151.1,161.25,1497.58,20.566,4.8682,11.7745,1.811,62.611,4.3058,4.9767,11.4935,1.4474,38.527,36.629,1.0925,19.9047
2024-08-13,1.6572,1.9558,6.0061,1.5014,0.948,7.8301,25.203,7.4621,0.85458,8.5143,393.53,17318.0,4.0855,91.76,151.1,161.17,1498.93,20.724,4.8648,11.797,1.8089,62.322,4.289,4.9757,11.506,1.4454,38.384,36.679,1.0931,19.8621
2024-08-14,1.6643,1.9558,6.0024,1.5115,0.9515,7.8627,25.197,7.462,0.85783,8.5824,394.45,17195.0,4.1127,92.5,152.1,161.98,1493.74,20.878,4.8704,11.7665,1.8324,62.761,4.2975,4.9763,11.4843,1.4494,38.429,36.966,1.1019,19.9267
2024-08-15,1.6609,1.9558,6.0262,1.509,0.9541,7.8816,25.2,7.4619,0.85615,8.58,394.58,17290.0,4.077,92.44,152.1,162.14,1495.28,20.748,4.8834,11.7455,1.832,62.744,4.2815,4.9764,11.5135,1.4505,38.483,37.015,1.1011,19.8284
2024-08-16,1.6577,1.9558,6.0112,1.5095,0.954,7.8758,25.239,7.4616,0.85128,8.5705,395.73,17259.0,4.0359,92.28,152.9,162.72,1490.58,20.546,4.872,11.8185,1.824,62.843,4.2703,4.9758,11.5435,1.4497,38.408,37.045,1.0994,19.6993
2024-08-19,1.6486,1.9558,6.0215,1.5098,0.9543,7.8848,25.181,7.4616,0.85243,8.604,393.08,17212.0,4.0907,92.61,151.9,161.22,1476.07,20.659,4.8376,11.7345,1.817,62.578,4.2688,4.9773,11.4871,1.4464,38.053,37.242,1.1041,19.6951
2024-08-20,1.6454,1.9558,6.0376,1.5085,0.9527,7.9192,25.158,7.4623,0.85194,8.6345,393.85,17126.0,4.1073,92.84,152.1,162.18,1478.34,20.844,4.852,11.6825,1.8042,62.559,4.2643,4.9768,11.3825,1.4493,37.885,37.49,1.1084,19.7295
2024-08-21,1.6495,1.9558,6.0844,1.5117,0.9503,7.9306,25.11,7.4615,0.85303,8.6634,392.35,17247.0,4.1395,93.26,152.7,162.26,1485.55,21.128,4.8688,11.683,1.8109,62.817,4.2858,4.977,11.378,1.4529,38.095,37.687,1.1116,19.8257
2024-08-22,1.655,1.9558,6.1538,1.513,0.949,7.9491,25.092,7.4619,0.84943,8.6814,394.1,17405.0,4.1455,93.48,152.3,162.64,1490.74,21.618,4.8749,11.7685,1.8107,62.723,4.2815,4.9764,11.392,1.4568,38.332,37.786,1.1135,20.024
2024-08-23,1.6518,1.9558,6.1902,1.5106,0.9476,7.9364,25.078,7.4615,0.84733,8.6728,393.75,17303.0,4.1184,93.31,152.3,162.37,1486.86,21.531,4.8654,11.802,1.8061,62.734,4.2775,4.9763,11.4355,1.4551,38.067,37.818,1.1121,19.9591
2024-08-26,1.6496,1.9558,6.1332,1.5076,0.946,7.9512,25.034,7.461,0.84645,8.7023,395.23,17237.0,4.0966,93.66,153.1,160.94,1481.16,21.409,4.8531,11.7785,1.8008,62.524,4.2815,4.9756,11.403,1.4546,37.926,37.974,1.1163,19.8317
2024-08-27,1.6461,1.9558,6.1186,1.5041,0.944,7.9547,25.034,7.4609,0.84438,8.7073,393.13,17349.0,4.1135,93.67,153.1,161.24,1485.86,21.687,4.8527,11.723,1.7912,62.842,4.2783,4.9771,11.3758,1.4552,38.029,37.988,1.1162,19.7883
2024-08-28,1.6407,1.9558,6.1498,1.4982,0.9375,7.9253,25.053,7.4593,0.84163,8.6711,393.4,17150.0,4.0759,93.36,153.1,160.57,1485.05,21.882,4.8281,11.712,1.7823,62.544,4.3003,4.9773,11.335,1.4493,37.848,37.839,1.1117,19.7851
2024-08-29,1.6274,1.9558,6.1892,1.4927,0.9364,7.8653,25.043,7.4588,0.84175,8.6422,392.73,17083.0,4.0671,93.02,152.9,160.36,1474.34,21.858,4.78,11.641,1.768,62.279,4.2898,4.9774,11.3455,1.4432,37.649,37.794,1.1088,19.6351
2024-08-30,1.6301,1.9558,6.2155,1.4941,0.9416,7.8585,25.031,7.4589,0.8412,8.6455,392.53,17180.0,4.0245,92.95,152.9,161.19,1478.6,21.758,4.7901,11.662,1.7709,62.309,4.2763,4.9768,11.3355,1.4441,37.541,37.765,1.1087,19.5358
2024-09-02,1.6322,1.9558,6.2185,1.4932,0.9415,7.8677,25.045,7.4587,0.84218,8.6239,392.55,17190.0,4.0415,92.81,153.1,162.56,1481.32,21.762,4.8171,11.73,1.7767,62.513,4.275,4.9753,11.351,1.4464,37.834,37.581,1.1061,19.8166
